id,domain,duration,university,fees,cgpa,ielts,independent_scholarship,university_scholarship
371,Psychology (part-time conversion course) - Pre-Master's Programme,12,"Birkbeck, University of London",20580,0,5.5,1,1
372,Sports Business and Management,12,University of Liverpool,28000,2.1,0,0,1
373,International Business Law - Part-time (Online),24,The University of Law,11350,2.2,0,0,0
374,Quantitative Methods for Risk Management,10,London School of Economics and Political Science,0,2.1,7,0,1
375,Multimedia Journalism,12,Glasgow Caledonian University,17950,2.2,7,1,0
376,Population and Ecosystems Health,12,University of Glasgow,30240,2.1,6.5,1,0
377,Education Management and Leadership - Master's Foundation Programme (MFP),12,ONCAMPUS Southampton,23475,0,6.5,0,1
378,Advertising and Public Relations,12,Richmond American University in London,15000,2.2,0,1,1
379,Psychology,24,University of York,27900,0,6.5,0,1
380,Adult Nursing,24,Kingston University,18100,2.2,7,0,1
381,International Relations,12,Kingston University,16900,2.2,6.5,1,1
382,International Business,12,University of Dundee,20900,2.2,6,0,0
383,Public Health,12,Queen's University Belfast,21500,2.1,6.5,1,1
384,Independent/Supplementary Prescribing,8,Cardiff University,0,0,0,0,1
385,Screenwriting,12,University of Hertfordshire,16450,2.2,6.5,0,0
386,Software Engineering,24,The University of Hertfordshire Online,4950,0,0,1,1
387,Clinical Neuropsychology Knowledge and Practice,12,University of Glasgow,28260,0,6.5,1,0
388,Business Law with Placement Year,24,University of Hertfordshire,17950,2.2,6.5,1,0
389,Pharmaceutical Sciences with Industrial Practice,24,University of Greenwich,19975,2.2,0,1,0
390,"Electronic, Electrical and Systems Engineering",12,University of Birmingham,27360,2.1,6,1,1
391,World History - Pre-Master's Programme,12,"Birkbeck, University of London",20580,0,5.5,0,1
392,Secondary Education - Geography,12,University of Wolverhampton,14950,0,6,0,1
393,Marketing Management,12,University of Hull,15000,2.2,6.5,0,0
394,Strategic Studies,12,University of St Andrews,29950,2.1,7,1,0
395,Modern History (Part Time),24,University of East Anglia,21200,2.1,6,1,1
396,Advanced Computer Science,12,University of South Wales,15100,2.2,6,1,1
397,Global Environmental Challenges,24,University of Bristol,26100,2.1,6.5,1,0
398,Financial Risk Management,9,University of Reading,25900,2.1,6.5,0,1
399,Psychology,12,University of Hertfordshire,16450,2.1,6.5,0,0
400,Marketing Management - Pre-Master's Programme (PMP),12,ONCAMPUS Southampton,24195,0,5.5,0,0
401,Financial Risk Management,12,Leeds University Business School,0,2.1,6.5,0,0
402,English Literature,12,Coventry University,16950,0,6.5,0,0
403,Biomedical Science,12,Leeds Beckett University,17500,2.2,6,0,0
404,Cellular and Molecular Physiology,24,University of Liverpool,27800,2.1,0,1,1
405,International Media and Management,12,Bangor University,19500,2.2,6,0,1
406,Art Museum and Gallery Studies,9,University of Leicester,22300,2.2,6.5,0,0
407,Strategic Marketing with Digital Media Management (Experiential Learning),24,University of Hertfordshire,17950,0,6.5,0,0
408,International Management - Pre-Master Programme,12,ONCAMPUS London,20580,0,5.5,0,1
409,Veterinary Epidemiology,24,University of Liverpool,27800,2.2,0,1,0
410,Animation (Online),12,University of Hertfordshire,16450,0,6.5,1,0
411,Physiotherapy and Leadership (pre-registration),24,Coventry University,16950,0,7,1,1
412,Sustainable Design,12,Kingston University,20900,2.1,6.5,1,0
413,Bioengineering,12,University of Nottingham,28600,2.1,6,1,1
414,Secondary Education (Mathematics) with Recommendation for QTS,12,Brunel University London,19430,2.2,7,0,1
415,Art and Visual Culture,12,University of Westminster,15000,2.2,6.5,1,0
416,Entrepreneurship and Innovation Management - Pre-Master Programme,12,Loughborough University,23280,0,0,1,1
417,Creative Writing,12,University of Birmingham,24120,2.1,6.5,1,1
418,Global Media,12,University of Westminster,17000,2.1,6.5,0,0
419,Psychology of Child Development,12,University of Central Lancashire (UCLan),16900,2.1,6.5,1,1
420,"Environment, Culture and Communication",12,University of Glasgow,24000,2.1,6.5,1,0
421,Publishing,12,Kingston University,19900,2.2,6.5,0,1
422,Business Management,12,University of the West of England (UWE Bristol),16750,2.2,6.5,0,1
423,Legal Practice Course,12,University of Wolverhampton,15950,0,6.5,0,0
424,Healthcare Practice,12,University of Greenwich,111000,2.2,7,1,1
425,Teaching English to Speakers of Other Languages,12,University of Reading,22350,2.1,6.5,1,0
426,Politics and International Relations,12,University of Reading,22350,2.1,6.5,1,1
427,Paediatric Exercise and Health,12,The University of Exeter,29700,2.1,6.5,0,1
428,International Human Resource Management,8,University of Essex Online,4143,0,6.5,1,1
429,Principles of Breast Oncoplasty,36,University of East Anglia,7500,0,7,1,1
430,Teaching English to Speakers of Other Languages (TESOL) (Part Time),24,University of East Anglia,21200,2.1,6.5,0,0
431,Global Business Management,12,University of East Anglia,22700,2.2,6,0,0
432,FinTech with Industrial Placement,12,University of Kent,20000,2.2,6.5,1,0
433,Sports and Exercise Medicine,24,Learna,5100,0,0,0,0
434,Finance and Management,12,University of St Andrews,29950,2.1,7,1,1
435,Mining Environmental Management,12,The University of Exeter,27500,2.2,6.5,0,0
436,Professional Practice with PGDE,12,University of Glasgow,24000,0,6.5,1,0
437,Dental Implantology,36,University of Bristol,12633,0,7,0,1
438,Social Work,24,Bournemouth University,16750,2.1,7,1,1
439,Electronic Engineering,24,University of Portsmouth,19200,2.2,6.5,1,0
440,Management of Business Information Technology,12,University of Greenwich,17275,2.2,6.5,0,1
441,Forensic Linguistics,12,Cardiff University,22700,0,0,1,1
442,Real Estate,12,University of Reading,27000,0,0,1,1
443,Development Economics,12,University of Nottingham,26250,2.1,6.5,0,1
444,Art Writing,12,University for the Creative Arts,18000,0,0,1,0
445,Teaching in Lifelong Learning (Top-up),12,University of Huddersfield,575,2.2,6,0,0
446,Advanced Physics - Pre-Master Programme,12,Loughborough University,23280,0,0,0,1
447,Master of Business Administration,24,Unicaf - Liverpool John Moores,0,2.2,6,0,1
448,Emerging Infections and Pandemics,12,University of Liverpool,26400,2.1,6.5,0,1
449,Environmental Management,12,Sheffield Hallam University,17205,2.2,0,1,1
450,Sport and Exercise Medicine,12,Leeds Beckett University,17500,2.2,6,0,1
451,Artificial Intelligence,24,University of Essex Online,6214,0,6.5,0,1
452,Project Management,12,Leeds Beckett University,17500,2.2,6,0,0
453,Stained Glass Conservation and Heritage Management,24,University of York,23900,2.1,6.5,1,1
454,Mathematics Subject Knowledge Enhancement Course,3,University of Birmingham,0,0,0,0,1
455,International Competition Law and Policy,12,University of Glasgow,27090,2.1,0,0,0
456,Media and Public Relations,12,Brunel University London,21260,2.2,6.5,1,0
457,Marketing,12,London Metropolitan University,18700,2.2,6,1,0
458,Sports Therapy,12,London Metropolitan University,18150,2.2,7,0,1
459,Artificial Intelligence,12,University of South Wales,15100,2.2,6,0,0
460,Food Sciences,12,London South Bank University,16900,2.2,7,0,1
461,Corporate Governance Grad CG - Part-time,24,"The University of Law, Postgraduate programmes",8500,2.2,0,1,1
462,Sports Biomechanics and Rehabilitation,12,University of Dundee,20900,2.1,6.5,1,1
463,Biological Sciences,24,The University of Exeter,27500,2.1,6.5,1,1
464,Education (Leading Learning & Teaching) (part time),36,University of Dundee,7170,0,6.5,0,1
465,Educational Assistive Technology,12,University of Dundee,20900,2.1,6.5,1,0
466,Visual Communication - Graphic Design,12,London Metropolitan University,18150,2.2,6,0,0
467,Peace and Conflict Studies,12,University of York,23900,2.1,6.5,0,0
468,Faculty of Media and Communication,18,Bournemouth University,19000,2.1,6.5,0,1
469,Luxury Marketing,12,Glasgow Caledonian University,16200,2.2,6,1,0
470,International and Commercial Dispute Resolution Law,12,University of Westminster,17000,2.2,6.5,1,0
471,"Environmental Management, Environmental Management (Energy)",12,Kingston University,15800,2.2,6.5,1,1
472,Infection Biology (with Specialisms),12,University of Glasgow,28260,2.2,6.5,1,1
473,Digital Media Arts,12,University of Hertfordshire,16450,2.2,6.5,0,0
474,Management with Sustainability,12,University of Hertfordshire,16450,0,6,1,1
475,Economics and Data Science,12,University of Nottingham,26250,2.1,6.5,0,0
476,Midwifery (Pre-Registration),36,University of Plymouth,19000,0,6.5,1,0
477,Orthoptics (Pre-registration),24,University of Liverpool,27200,2.2,0,1,1
478,Aerospace Engineering,12,Kingston University,18500,2.2,6.5,0,1
479,Mechanical Engineering,12,University of South Wales,4000,2.2,6,0,0
480,Photography,17,Kingston University,18700,2.2,6.5,1,0
481,History,12,University of Bristol,28200,2.1,6.5,1,1
482,Cinematography for Film and Television,12,Bournemouth University,17000,2.2,6.5,1,0
483,Sport Management and Marketing - Pre-Master's Programme,12,"Birkbeck, University of London",20580,0,5.5,1,0
484,International Finance and Banking,12,University of Portsmouth,19200,0,6.5,1,1
485,Finance,12,University of Plymouth,18400,0,6.5,0,0
486,Spanish and Latin American Studies,12,University of St Andrews,25880,2.1,7,1,1
487,Science by Research,14,University of Greenwich,16300,2.1,0,0,0
488,Intellectual Property and Data Protection Law,12,University of Hertfordshire,15450,1,6,1,0
489,Physiotherapy (Pre-registration),24,Edinburgh Napier University,18675,2.2,7,0,1
490,Cyber Security with Placement Year,24,University of Hertfordshire,17950,2.2,6,0,1
491,Veterinary Physiotherapy,36,University of Nottingham,21500,2.2,7.5,1,1
492,Association of Chartered Certified Accountants (ACCA),12,University of South Wales,560,0,6,1,0
493,"Media, Culture and Society",12,University of Leicester,21400,2.1,6.5,0,1
494,International Commercial Law (Dual Qualifying - CY Cergy Paris University),12,University of Dundee,20900,2.2,6.5,1,1
495,Nursing (Childrens) with NMC Registration,24,University of Derby,14900,2.2,7,0,0
496,Sport and Exercise Nutrition,12,University of Huddersfield,16000,2.2,6,0,1
497,Computer Science,14,University of Wolverhampton,5657,0,6,1,1
498,Church History and Theology,12,University of Glasgow,22140,2.1,6.5,1,1
499,"Education, Languages and Linguistics",24,University of Portsmouth,17200,0,7,1,0
500,Animation,12,University of Central Lancashire (UCLan),15500,2.2,6.5,0,1
501,International Business with Tourism and Hospitality,12,University of Huddersfield,16000,2.2,6,1,1
502,Sport and Exercise Nutrition,12,University of Huddersfield,16000,2.2,6,1,1
503,Computer Science,14,University of Wolverhampton,5657,0,6,0,0
504,Church History and Theology,12,University of Glasgow,22140,2.1,6.5,0,1
505,International Business and Finance,12,University of Aberdeen Business School,27000,2.2,6.5,0,1
506,Master of Business Administration,12,Richmond American University in London,17325,2.2,0,0,0
507,Business and Sustainability,12,UCL,34400,2.1,0,1,1
508,International Relations,12,University of Bristol,27400,2.1,6.5,1,1
509,Multimedia Journalism (Print and Online),12,University of Westminster,17000,2.1,7,0,0
510,Sound Design for Screen,12,Bournemouth University,17000,2.2,6.5,1,0
511,Children's Nursing,24,Kingston University,18100,2.2,0,1,0
512,Music Performance - Solo Voice Ensemble Singing,12,University of York,23900,2.1,0,0,1
513,Environmental Management,12,Brunel University London,25000,2.2,0,1,1
514,Management with Digital Marketing,12,University of Hertfordshire,16450,0,6,0,0
515,Finance (Professional Practice),18,University of Huddersfield,17900,2.1,7,1,0
516,Public Health,12,University of York,23900,2.1,6.5,1,0
517,"International Law - Conflict, Security and Human Rights",24,Leeds Beckett University,10350,2.2,6,1,0
518,"Media Law, Privacy and Defamation - Full-time (Online)",12,The University of Law,11350,2.2,0,0,1
519,Banking and Finance,12,University of Nottingham,30200,2.1,6.5,1,1
520,Strength and Conditioning,12,Loughborough University,29750,2.1,6.5,0,1
521,Product Design,12,London Metropolitan University,18150,2.1,6,0,0
522,Philosophy,12,Cardiff University,22700,0,0,1,0
523,Secondary Education - Design and Technology,12,University of Wolverhampton,14950,0,6,0,1
524,Sustainable Transportation and Electrical Power Systems (Erasmus Mundus),24,University of Nottingham,28600,2.1,6,1,0
525,Advanced Clinical Practice (Cardiovascular Health),12,Brunel University London,23615,0,0,0,1
526,Bar Training Course,10,Cardiff University,22700,0,0,1,0
527,Qualifying Law Degree - Pre-Master's Programme,12,"Birkbeck, University of London",20580,0,5.5,1,1
528,Biotechnology,12,University of York,29400,2.1,6.5,0,0
529,English Literature,12,University of Liverpool,22400,2.1,0,1,0
530,Fashion and Textiles,12,The Glasgow School of Art,25000,0,0,1,1
531,Secondary Education - Art and Design,12,University of Wolverhampton,14950,0,6,0,1
532,Health and Medical Education,24,University of Hertfordshire,0,1,6.5,0,0
533,Veterinary Physiotherapy,36,Hartpury University,18750,2.2,7,0,0
534,Media and Broadcast Production,12,Queen's University Belfast,21500,2.1,6.5,0,1
535,Mental Health and Mental Capacity Law,36,Queen's University Belfast,21500,2.2,6.5,1,0
536,Graphic Design,12,University of Portsmouth,17200,2.1,6.5,1,0
537,Teaching English to Speakers of Other Languages (TESOL),12,University of Birmingham,25290,2.1,6.5,0,0
538,Educational Studies,12,University of Glasgow,28260,2.1,6.5,0,0
539,Entrepreneurship and Innovation,12,Loughborough University,17508,0,0,1,0
540,Clinical Neuropsychology,12,University of Bristol,21200,0,0,0,0
541,International Human Rights Law with Placement Year,24,University of Hertfordshire,0,2.2,6,0,0
542,"International Business (Dual Award, Greenwich and New Zealand)",15,University of Greenwich,7000,2.1,0,0,1
543,"Higher Education Administration, Management and Leadership - Part-time Online",24,"The University of Law, Postgraduate programmes",12500,0,6.5,0,0
544,Engineering Project Management,12,Coventry University,20050,2.2,6.5,0,1
545,Advanced Practice in Healthcare,12,University of Birmingham,29340,0,6.5,1,0
546,Professional Legal Practice,12,University of Glasgow,11130,0,0,0,0
547,Social Media and Social Research,12,University of York,23900,2.1,6.5,1,1
548,Financial Engineering,12,University of Birmingham,26280,2.1,6,1,0
549,Film and Media Production,12,Coventry University,18600,0,6.5,0,1
550,International Relations - Pre-Master Programme,12,ONCAMPUS London,20580,0,5.5,0,1
551,Applied Educational Leadership for International Settings,24,Leeds Beckett University,2500,2.2,6,1,0
552,Viking and Early Medieval English Studies,12,University of Nottingham,22600,2.1,6.5,0,1
553,Nursing,24,University of Essex Online,6214,0,6.5,1,0
554,Health Research Methods,12,The University of Exeter,27500,2.2,6.5,1,1
555,Conservation Biology,12,University of Derby,14900,2.2,6,1,0
556,Clinical Psychology,12,University of South Wales,15100,2.2,6.5,1,1
557,Contemporary Curating - Master's Foundation Programme (MFP),12,ONCAMPUS Southampton,23475,0,6.5,1,1
558,Linguistics and Intensive Language (Korean),24,SOAS University of London,25320,2.2,6.5,1,1
559,Business Analytics with Industrial Placement,24,University of Kent,22700,2.2,0,0,0
560,Public History,12,University of York,23900,0,7,0,1
561,International Relations,12,University of Birmingham,24120,0,6.5,1,0
562,Medical Genetics and Genomics,12,University of Glasgow,28260,2.1,6.5,1,0
563,"Development, Disorders and Clinical Practice",12,University of York,29400,0,6.5,0,1
564,International Business and Finance,12,University of Derby,14900,2.2,6,1,0
565,Educational Studies,12,Queen's University Belfast,21500,2.1,6.5,0,1
566,Pre-Master's Programme - Engineering and Sciences,12,ONCAMPUS London,20580,0,5.5,0,0
567,School Direct,0,London South Bank University,0,2.2,6.5,1,0
568,Veterinary Physiotherapy,24,University of Liverpool,15000,0,0,0,1
569,Finance and Economics,12,University of St Andrews,29950,2.1,7,0,0
570,Experimental Archaeology,12,The University of Exeter,24300,2.2,6.5,1,0
571,Pre-Master’s Programme - Humanities and Social Sciences,12,ONCAMPUS Aston,20370,0,5,0,0
572,Accounting and Finance - Pre-Master’s Programme,12,University of Hull,15990,0,4.5,0,0
573,Popular Music and Culture,12,Leeds Beckett University,17500,2.2,6,1,0
574,Biomedical and Healthcare Ethics,12,University of Leeds,0,0,6.5,0,1
575,Sustainability in Transport,12,University of Leeds,0,2.1,6.5,0,1
576,Leadership and Management in Health,24,Kingston University,9500,0,6.5,1,0
577,Nursing (Pre-Registration) Learning Disability,24,University of Huddersfield,18000,2.2,6.5,1,1
578,Applied Neuropsychology (Online),12,University of Bristol,13600,2.1,0,1,0
579,Sustainable Environment,0,University of South Wales,0,0,0,1,1
580,Data Science and Analytics,12,University of Hertfordshire,16450,0,6,0,1
581,Business Management,12,University of Hull,15000,2.2,6.5,0,0
582,Communication Networks and Signal Processing,12,University of Bristol,28300,2.1,6.5,1,1
583,Intelligent Maintenance Engineering,12,University of Central Lancashire (UCLan),16900,2.2,6.5,0,1
584,Secondary Education (11-16) with Recommendation for Qualified Teacher Status - Mathematics,9,Leeds Beckett University,9250,2.2,6.5,0,1
585,Applied Health Sciences,12,University of Huddersfield,16000,2.1,0,0,1
586,Supply Chain Management with Humanitarian Challenges (Professional Practice),18,University of Huddersfield,17900,2.1,7,0,1
587,Autonomous Systems and Connectivity,12,University of Glasgow,30240,2.1,6.5,0,0
588,International Criminal Law and International Human Rights Law,12,Bangor University,18000,2.2,6.5,0,1
589,Project Management,12,University of Hertfordshire,16450,2.2,6.5,0,1
590,Business Psychology - Pre-Master Programme,12,Loughborough University,23280,0,0,1,1
591,Sustainable Sport Business - Pre-Master Programme,12,Loughborough University,23280,0,0,1,1
592,Global Mental Health (Online),36,University of Glasgow,5000,2.1,0,1,0
593,Business Innovation with Entrepreneurship and Innovation Management - Pre-Master's Programme,12,"Birkbeck, University of London",19980,0,5.5,0,1
594,Performance Psychology,24,Bangor University,1890,2.2,0,1,0
595,Midwifery,36,University of Dundee,2475,0,6.5,0,1
596,Modern Foreign Languages,12,University of Portsmouth,17200,2.2,0,0,0
597,Criminology and Criminal Psychology,12,University of Greenwich,17450,2.2,0,1,0
598,Legal Practice (SQE1 and 2) - Part-time day,24,"The University of Law, SQE",6400,2.2,0,0,0
599,Romantic Studies - Pre-Master's Programme,12,"Birkbeck, University of London",20580,0,5.5,1,0
600,Luxury Brand Management - Pre-Master's Programme (PMP),12,ONCAMPUS Southampton,24195,0,5.5,0,0
601,Microelectronics Systems Design - Master's Foundation Programme (MFP),12,ONCAMPUS Southampton,23475,0,6.5,1,1
602,Nutrition,12,University of Leeds,0,2.1,6.5,1,0
603,Finance and Management with Industrial Placement,24,University of Kent,20000,2.2,0,1,0
604,Energy Economics and Finance,24,University of Aberdeen Business School,17630,2.2,0,0,1
605,Translation and Professional Language Skills (German),12,University of Bath,26500,2.1,7.5,0,1
606,Investment and Financial Risk Management,12,Kingston University,18900,2.2,6.5,0,0
607,International Business,12,University of Glasgow,30240,2.1,6.5,1,1
608,Clinical Applications of Psychology,12,University of Hull,18000,2.2,6.5,1,0
609,Socio-Legal Studies,12,University of Bristol,26700,2.1,7,0,1
610,Flexible Executive MBA,27,University of Reading,15333,0,7,1,1
611,Financial Economics,12,University of York,32260,2.1,0,1,0
612,"Higher Education Administration, Management and Leadership - Part-time",24,"The University of Law, Postgraduate programmes",2100,0,0,0,0
613,Midwifery and Women's Health,60,University of Hertfordshire,0,0,6.5,1,0
614,Comparative Criminology and Criminal Justice,12,Bangor University,17000,2.2,0,0,0
615,Management - Organisational Leadership and Change Pathway,12,University of Birmingham,29340,2.1,7,1,1
616,Public Health and Health Promotion,12,Bangor University,18000,2.2,6,1,0
617,Public Health and Health Promotion,12,Brunel University London,23615,2.2,6.5,1,0
618,Legal Practice,12,Bournemouth University,16250,2.2,6.5,0,1
619,Financial and Computational Mathematics,12,University of Nottingham,28600,2.1,6.5,1,1
620,Law,12,London South Bank University,16900,2.1,7,1,0
621,Nursing,36,University of Dundee,2475,0,6.5,0,1
622,Applied Theatre and Education,12,University of Derby,14900,2.2,6,1,1
623,Law,12,Abertay University,4829,2.1,6.5,0,1
624,Medieval English,12,University of St Andrews,25880,2.1,7,0,1
625,Finance,12,Kingston University,18900,2.2,6.5,0,0
626,Physiotherapy (Pre-Registration),24,Sheffield Hallam University,17570,2.2,7,1,1
627,Project Management Online,12,The University of Law Business School Online,11300,2.2,6.5,0,0
628,Nutrition and Exercise Sciences,12,University of Central Lancashire (UCLan),16900,2.2,6.5,1,0
629,Economics,12,Cardiff University,29200,0,0,1,1
630,Sustainable Planning and Environmental Management,12,University of Hertfordshire,16450,2.2,6.5,0,1
631,Illustration,12,The University of Edinburgh,28200,2.1,7,0,0
632,Preventative Cardiovascular Medicine,24,Learna,4600,0,0,1,1
633,Occupational Therapy (pre-registration),24,Coventry University,16950,2.2,7,0,0
634,International Business Management,12,Edinburgh Napier University,18800,2.2,6,0,1
635,International Accounting and Financial Management,12,University of Glasgow,35640,2.1,6.5,0,0
636,Advanced Computer Science,12,University of Birmingham,20330,2.1,6.5,0,1
637,Global Executive Master of Business Administration with Cyber Security,24,The University of Hertfordshire Online,5550,0,0,0,0
638,Secondary Education (QTS) - Engineers Teach Physics,8,University of Birmingham,24120,0,0,0,0
639,Network & Information Security,12,Kingston University,18500,2.2,6.5,0,1
640,Physiotherapy,18,Cardiff University,28200,0,0,1,1
641,Civil Engineering,12,Leeds Beckett University,17500,2.2,6,1,1
642,International Business with Humanitarian Challenges,12,University of Huddersfield,16000,2.2,6,1,1
643,Medieval Studies,12,University of Bristol,28200,2.1,6.5,0,1
644,Teaching English to Speakers of Other Languages,12,University of Huddersfield,16000,2.2,6.5,1,1
645,Medical Visualisation and Human Anatomy,12,University of Glasgow,29520,0,6.5,1,0
646,Public Health Nutrition,12,Coventry University,18600,2.2,6.5,1,0
647,International Human Rights Law and Practice,12,University of York,23900,2.1,7,1,1
648,Aerospace Engineering,12,University of Leicester,21850,2.2,6,0,0
649,Mental Health Psychology (Online),30,University of Liverpool,16065,2.1,0,0,1
650,Photography Arts,12,University of Westminster,17000,2.2,6.5,1,0
651,Educational Leadership and Management (Distance Learning),12,University of Portsmouth,2970,2.2,0,1,1
652,Corporate Social Responsibility and Sustainability,12,London Metropolitan University,18700,2.2,6,0,1
653,Construction Project Management,12,University of Westminster,17000,2.2,6.5,1,1
654,Genetic and Genomic Counselling,36,Cardiff University,12200,0,0,0,0
655,Management - Pre-Master's Programme,12,"Birkbeck, University of London",20580,0,5.5,1,0
656,Historical Research - Pre-Master's Programme,12,"Birkbeck, University of London",19980,0,5.5,0,1
657,Law,12,University of York,23900,2.1,7,1,1
658,Social Research Methods,12,University of Liverpool,22400,2.1,0,1,0
659,Addiction and Mental Health,12,London Metropolitan University,18150,2.2,6,1,1
660,Marine Mammal Science,12,University of St Andrews,29950,2.1,7,1,0
661,Human Resource Management,12,University of Liverpool,27700,2.1,0,1,0
662,International Relations and European Politics,24,University of Bath,26500,2.1,6.5,1,1
663,"Systems, Control and Signal Processing - Pre-Master's Programme (PMP)",12,ONCAMPUS Southampton,24195,0,5,0,1
664,Mental Health Nursing,24,Kingston University,18100,2.2,7,1,0
665,Energy and Environment,12,University of Leeds,31000,2.2,6.5,1,0
666,Infrastructure Investment and Finance,12,UCL,37500,2.1,7,1,0
667,Victorian Literature and Culture,12,University of York,23900,2.1,7,1,1
668,Social Work,24,University of Huddersfield,16000,2.1,7,0,0
669,Diplomacy and Global Politics,12,University of Westminster,17000,2.2,6.5,1,0
670,Education,12,University of Bristol,27200,2.1,0,0,1
671,Management of Information Systems and Technology,12,Coventry University,20050,2.2,6.5,0,1
672,Electrical Power Systems with Advanced Research,24,University of Birmingham,29340,2.1,6.5,1,1
673,Criminology and Social Research,12,University of York,23900,2.1,6.5,1,1
674,Immersive Technologies (Virtual and Augmented Reality),12,University of Bristol,32900,0,0,0,0
675,Creative Writing,12,The University of Exeter,24300,2.1,7,0,0
676,Computer Science with Artificial Intelligence,14,University of Wolverhampton,5657,0,6,1,1
677,Quality and Patient Safety Improvement,12,University of Nottingham,22600,2.2,6.5,1,0
678,Strategic Leadership (Senior Leader Apprenticeship),24,University of Portsmouth,0,2.2,6.5,0,0
679,"Human Geography - Spaces, Politics, Ecologies",12,University of Glasgow,25290,2.1,6.5,0,1
680,Sport Biomechanics - Pre-Master Programme,12,Loughborough University,23280,0,0,0,0
681,Clinical Leadership Online,30,University of Birmingham,9713,0,6.5,1,0
682,Sustainability - Climate Change and the Green Economy,12,University of Dundee,20900,2.2,6.5,1,0
683,Learning Technologies - Pre-Master's Programme,12,"Birkbeck, University of London",20580,0,5.5,0,0
684,"Crime, Justice and Psychology",12,University of Leicester,18950,2.1,6.5,0,0
685,Design (Interaction),12,Sheffield Hallam University,17205,2.2,6,1,0
686,Environmental Law - Part-time,24,"The University of Law, Postgraduate programmes",8500,2.2,0,0,0
687,Football Science and Rehabilitation,12,University of Central Lancashire (UCLan),9000,2.2,6.5,1,0
688,Advanced Aesthetic and Restorative Dentistry (Top-up),12,University of Portsmouth,7950,0,6.5,0,0
689,Criminology - Master's Foundation Programme (MFP),12,ONCAMPUS Southampton,23475,0,6.5,1,1
690,International Politics,12,SOAS University of London,24350,2.2,6.5,0,1
691,Physics,12,University of Leeds,31000,2.1,6.5,0,0
692,Sexual Health Medicine,6,Learna,2550,0,0,0,0
693,Learning Technologies (Distance Learning),9,University of Leicester,4700,2.2,6.5,1,1
694,Energy Finance (China University of Petroleum-Beijing),12,University of Dundee,0,0,0,1,0
695,Mechanical Engineering - Pre-Master Programme,12,Loughborough University,23280,0,0,1,0
696,Human Resource Management (with Placement Year),24,University of Hertfordshire,17950,0,6.5,1,1
697,International Criminal Justice (Distance Learning),24,University of Portsmouth,4450,2.2,6.5,0,1
698,Law - Law and Globalisation,12,University of Bristol,24700,2.1,7,0,1
699,Intercultural Business Communication,12,Edinburgh Napier University,18800,2.2,6,1,0
700,Earthquake Engineering and Infrastructure Resilience,12,University of Bristol,32900,2.1,6.5,0,1
701,Chemistry,24,University of Liverpool,27800,1,0,0,1
702,Mechanical Engineering - Pre-Master Programme,12,Loughborough University,23280,0,0,1,1
703,Earthquake Engineering and Infrastructure Resilience,12,University of Bristol,32900,2.1,6.5,1,1
704,Law - Law and Globalisation,12,University of Bristol,24700,2.1,7,1,1
705,Intercultural Business Communication,12,Edinburgh Napier University,18800,2.2,6,0,0
706,International Criminal Justice (Distance Learning),24,University of Portsmouth,4450,2.2,6.5,1,0
707,Secondary Education - Social Sciences,12,University of Wolverhampton,14950,0,6,1,0
708,Business Management (Leadership and Innovation),12,Edinburgh Napier University,17090,0,0,0,1
709,Teaching Chinese to Speakers of Other Languages (TCSOL),12,University of Nottingham,25250,2.2,6.5,1,1
710,Art Gallery and Museum Studies,12,University of Leeds,0,2.1,6.5,1,1
711,"Occupational Health, Safety and Environmental Management (Learning at Work)",36,University of Portsmouth,4000,0,6,1,1
712,Psychology Conversion,12,University of Liverpool,26400,2.1,0,0,1
713,Architectural Computation,12,UCL,34400,2.2,6.5,0,0
714,Electronic Engineering (by research),12,University of York,22200,2.1,6,1,0
715,Mechanical Engineering,12,University of Huddersfield,17000,2.2,6,0,1
716,Engineering Geology,12,University of Portsmouth,19200,2.2,6.5,1,1
717,Learning at Work,12,University of Portsmouth,0,0,0,1,1
718,International Accounting &amp; Finance,12,Bournemouth University,18000,2.2,6,1,0
719,Directing Film and Television,12,Bournemouth University,17000,2.2,6.5,0,0
720,Graphic Communication,12,University of South Wales,14950,0,6,1,1
721,Health and Public Service Management,12,University of South Wales,14950,2.2,6,0,0
722,Media and Communication,12,University of Portsmouth,17200,2.2,6.5,0,0
723,Architecture,12,The Glasgow School of Art,25000,0,0,0,0
724,Sustainable Development,12,University of St Andrews,29950,2.1,6.5,0,1
725,"Transnational, Global and Spatial History",12,University of St Andrews,25880,2.1,7,1,0
726,English Language Teaching and Applied Linguistics,12,Coventry University,18600,2.2,6.5,1,0
727,Automotive Engineering - Pre-Master Programme,12,Loughborough University,23280,0,0,1,0
728,Academic Writing Development and Research,24,Coventry University,0,2.2,6.5,1,0
729,Language Acquisition and Development,12,Bangor University,17000,2.2,0,1,0
730,Coaching and Mentoring for Education Practitioners,12,Leeds Beckett University,2750,2.2,6,0,1
731,Archaeology (Bioarchaeology) - Pre-Master's Programme (PMP),12,ONCAMPUS Southampton,24195,0,5.5,0,1
732,International Business Law,16,University of Essex Online,6213,0,6.5,0,1
733,Management,12,Queen's University Belfast,25800,2.2,6.5,0,0
734,Sports and Exercise Medicine,12,University of Nottingham,30200,2.1,6.5,0,0
735,International Commercial Law,12,London South Bank University,16900,2.2,6.5,0,1
736,Mathematics,12,Cardiff University,28200,0,0,0,0
