Domain,Uni Name,Description
International Human Rights and Development,London South Bank University,"5,927,773 PKR / year
1 year
The LLM International Human Rights and Development from London South Bank University offers a mixture of international human rights law, development studies and refugee studies modules. You'll explore contemporary debates in the context of specific countries and themes."
Music (with Performance) - Choral Conducting,University of Birmingham,"8,870,614 PKR / year
1 year
The unique Music (with Performance) - Choral Conducting programme from University of Birmingham is directed by Professor Simon Halsey CBE and is in association with the City of Birmingham Symphony Orchestra and its internationally renowned choruses and conductors. It gives students the opportunities to observe, conduct and sing every week."
Construction Project Management with Sustainability,Loughborough University,"10,084,230 PKR / year
1 year
Our MSc Construction Project Management with Sustainability from Loughborough University is uniquely dedicated to developing construction managers’ knowledge and expertise in sustainable practices, focussing on the integration of sustainable design and construction processes across a building life cycle."
Civil Infrastructure Engineering - Pre-Master’s Programme,ONCAMPUS Aston,"7,144,896 PKR / year
1 year
The Civil Infrastructure Engineering - Pre-Master’s Programme at ONCAMPUS Aston is a two semester programme, with guaranteed progression* to a wide range of Master’s degrees at Aston University. You will study your Master's programme at our Centre located at the heart of Aston University campus."
Management,Leeds Beckett University,"6,138,227 PKR / year
1 year
The Management at Leeds Beckett University will provide you with an advanced and challenging study of the main management disciplines of finance, marketing, supply chain and human resources."
Computing and Information Systems,University of South Wales,"5,296,413 PKR / year
1 year
If you want to move into the computing and information systems field, or if computing plays an increasing part in your role, the Computing and Information Systems programme from University of South Wales is ideal personal development."
Middle Eastern Studies,SOAS University of London,"8,881,137 PKR / year
1 year
The MA in Middle Eastern Studies at SOAS University of London provides exceptional opportunities for studying this diverse and fascinating area at the postgraduate level through a variety of disciplinary approaches."
Development Economics,University of East Anglia,"6,944,965 PKR / year
1 year
This Development Economics MSc course from the University of East Anglia you’ll learn to apply rigorous economic analyses to real-world problems like poverty and underdevelopment to identify effective policies. Importantly, you’ll integrate methods, research findings and new insights from behavioural and experimental economics."
Wireless and Computer Communication Networks,Brunel University London,"8,768,895 PKR / year
1 year
The Wireless and Computer Communication Networks programme from Brunel University London will deepen your theoretical understanding of wireless and computer communication systems, as well as equip you with the ability to analyse complex problems associated with such systems."
Terrorism and Security Management (Distance Learning),University of Portsmouth,"1,560,863 PKR / year
2 years
Explore different aspects of terrorism and security management from a holistic perspective on this part-time Master's degree, which you can study over two years by distance learning."
Artificial Intelligence and Machine Learning,University of Birmingham,"11,017,240 PKR / year
1 year
Understand the fundamental principles of Artificial Intelligence and Machine Learning. This specialist Artificial Intelligence and Machine Learning programme from University of Birmingham will allow you to apply your knowledge to real problems."
Data Science,Northumbria University,"6,927,427 PKR / year
1 year, 4 months
Data Science from Northumbria University will provide you with the ability to explore data insights to ensure organisations are making the most out of their data. You will develop knowledge insight from a variety of structured and unstructured data, using a range of data analysis methods, processes, algorithms and systems."
Politics and International Relations,University of Nottingham,"7,541,250 PKR / year
1 year
This Politics and International Relations MRes  programme from the University of Nottingham provides a solid foundation for those who wish to undertake a PhD or embark upon a research-based career."
Contemporary Literature and Culture,Loughborough University,"8,593,517 PKR / year
1 year
The Contemporary Literature & Culture programme from Loughborough University  enables graduates to explore British and American fiction, poetry, and drama, analysing contemporary issues such as #MeToo, the Covid pandemic, and climate change, and understanding how literary prizes influence the production of today’s literature."
Aerodynamics and Computation - Pre-Master's Programme (PMP),ONCAMPUS Southampton,"8,486,537 PKR / year
1 year
The Aerodynamics and Computation - Pre-Master's Programme (PMP) at ONCAMPUS Southampton  is a two-semester programme, with guaranteed progression upon successful completion of the programme to a wide range of Master’s degrees at the University of Southampton."
Oceanography - Pre-Master's Programme (PMP),ONCAMPUS Southampton,"8,486,537 PKR / year
1 year
The Oceanography - Pre-Master's Programme (PMP) at ONCAMPUS Southampton is a two-semester programme, with guaranteed progression upon successful completion of the programme to a wide range of Masters degrees at the University of Southampton."
Public Health with Advanced Research,University of Hertfordshire,"6,646,823 PKR / year
2 years
This Public Health with Advanced Research course from University of Hertfordshire combines the work of public health theory, practice and research, with expertise from: Life and Medical Science, Nursing and Social Work and The Business School at the University of Hertfordshire."
Global Public Policy and International Business,University of York,"8,383,064 PKR / year
1 year
Throughout this Global Public Policy and International Business Masters MA course from the University of York you'll study of global social policy is an area of increasing interest, both academically and as an applied subject. Understand social policy in a regional and global contex."
Finance and Accounting,University College Birmingham,"5,261,337 PKR / year
1 year
The Finance and Accounting postgraduate course from University College Birmingham will help mould you into a strong decision maker, able to deal with the accounting and finance-related challenges facing local and international organisations in the modern world."
Business Analytics,University of Bath,"10,171,918 PKR / year
1 year
The Business Analytics degree offered at University of Bath will help you develop your understanding of business analytics and how it works internationally. You’ll graduate with the skills you need to start a career specialising in data and decision analysis."
International Business with Humanitarian Challenges,University of Huddersfield,"6,173,302 PKR / year
1 year
The M.Sc. in International Business with Humanitarian Challenges at University of Huddersfield has a key focus on how national, regional and international initiatives regulate the ever-changing dynamics of financial and cultural globalisation, including how these affect respect for human rights in contemporary society."
Architect Degree Apprenticeship,Northumbria University,"Free
4 years
The Architect Degree Apprenticeship programme from Northumbria University represents a remarkable opportunity to undertake postgraduate qualifications to become an Architect without having to leave full-time paid employment to continue your studies. There are also no tuition fees for the apprentice."
Film Studies (Part time),University of East Anglia,"7,436,023 PKR / year
2 years
On the MA in Film Studies (Part time) from the University of East Anglia you’ll explore the social, cultural, political, industrial, historical and aesthetic dimensions of film through a range of global case studies from Hollywood cinema to Anime. As well as deepening your understanding of global cinemas you will be taught by experts in the field of British film."
Anthropology,University of Bristol,"10,803,279 PKR / year
1 year
The MA in Anthropology offered at the University of Bristol will help you to develop a nuanced and cross-cultural perspective on the challenges that humans face in our fast-changing world, with content that reflects our research strengths in adversity, adaptation and globalisation."
Clinical Psychology,University of South Wales,"5,296,413 PKR / year
1 year
This Clinical Psychology programme from University of South Wales offers a comprehensive grounding in the understanding of mental health problems."
Data Analysis for Business Intelligence,University of Leicester,"8,295,375 PKR / year
1 year
This Data Analysis for Business Intelligence MSc at University of Leicester is for you if you want to gain practical experience in databases and a rigorous understanding of applied statistics, data mining, operational research and related areas."
Law,University of Nottingham,"7,927,081 PKR / year
1 year
Law programme from University of Nottingham allows you to choose from over 30 modules, covering a wide range of topics. This means you can tailor your LLM to your interests and career goals and gain a diverse legal education or focus on a specific area of law."
Sport Business and Leadership,Loughborough University,"10,698,052 PKR / year
1 year
The Sport Business and Leadership programme at Loughborough University is designed for individuals who wish to develop their impact and effectiveness in leading and managing individuals, teams, and organisations within the sport business industry."
Cognitive and Behavioural Therapies,Cardiff University,"Tuition unknown
2 years
The BABCP accredited programme in Cognitive and Behavioural Therapies at Cardiff University is available as a second year, following on from the postgraduate certificate. It enables mental health staff to develop further competence in high intensity CBT."
Producing Film and Television,Bournemouth University,"5,962,849 PKR / year
1 year
Whether you plan to manage the next generation of film and TV programmes, shape a career in development or production, run your own company, or effect social change with the subjects you tackle this course gives you the grounding to achieve your ambitions."
Forensic Linguistics,Cardiff University,"7,962,157 PKR / year
1 year
Train alongside international experts at the agenda-setting Centre for Language and Communication Research, home of the Forensic Linguistics programme at Cardiff University."
Cyber Security,University of Derby,"5,226,262 PKR / year
1 year
Take the MSc Cyber Security programme from University of Derby and become part of the next generation of leading IT security professionals, fully equipped to respond rapidly to risks and problems."
Electronic and Electrical Engineering,University of Portsmouth,"6,734,512 PKR / year
1 year
Master the key elements of contemporary electronic and electrical engineering with this accredited MSc Electronic and Electrical Engineering course from the University of Portsmouth."
Public Administration Online,University of Birmingham,"5,084,205 PKR / year
2½ years
Learn to lead positive change, adopt the latest international thinking and master public sector strategy by studying our Public Administration Online - taught at University of Birmingham."
Communication and Media,University of Liverpool,"9,751,011 PKR / year
2 years
The University of Liverpool offers a degree in Communication and Media. The department prides in its ability to embrace the study of communication and media in an inclusive and comprehensive manner."
Cultural Heritage and Museum Studies,University of East Anglia,"7,436,023 PKR / year
1 year
On this Cultural Heritage and Museum Studies programme from the University of East Anglia you’ll develop an understanding of the history of museums and heritage bodies, and critically interrogate the theoretical models on which they’re based. At the same time, you’ll acquire knowledge of the practical approaches used in the 21st century museum and heritage sectors."
International Criminal Law and International Human Rights Law,Bangor University,"6,313,605 PKR / year
1 year
This International Criminal Law and International Human Rights Law programme at Bangor University is designed to help students become experts in the areas of International Law that directly concern the human person - International Criminal Law & International Human Rights Law - whilst mastering the discipline of International Law of which they are part."
"Art History - Technical Art History, Making and Meaning",University of Glasgow,"8,418,139 PKR / year
1 year
The Art History - Technical Art History, Making and Meaning programme of the University of Glasgow  focuses on the act of making and everything that encompasses: materials, techniques, intentions, context and concept."
Data Science,University of Glasgow,"11,175,080 PKR / year
1 year
The Data Science programme at the University of Glasgow is a specialist version of the MSc (Computing Science) which will provide you with a thorough grounding in the analysis and use of large data sets together with experience of conducting a substantial development or research project focused on Data Science techniques, preparing you for responsible positions in the Big Data and IT industries."
Psycholinguistics,University of York,"8,796,956 PKR / year
1 year
The Psycholinguistics course from University of York will provide you with a detailed foundation in the key theories and questions in psycholinguistics, while giving you practical training in the techniques, methodologies, and quantitative analysis methods associated with this field."
Cleantech Innovation,The Dyson School of Design Engineering,"14,345,913 PKR / year
1 year
Become a climate innovator and cleantech entrepreneur through this interdisciplinary Cleantech Innovation course offered by Imperial."
Luxury Brand Management,Glasgow Caledonian University,"6,594,209 PKR / year
1 year
The Luxury Brand Management MBA programme from Glasgow Caledonian University, part of the British School of Fashion, builds on our expertise in the luxury industry. We developed this innovative programme to meet the growing demand for experienced managers who really understand luxury brand management in a global context."
Specialised Master in International Wealth Management,ESCP Business School,"5,611,929 PKR / year
1 year, 3 months
The Specialised Master in International Wealth Management MSc programme from ESCP Business School allows you to master the essential areas of wealth management such as law, finance and taxation in an international environment."
"Cybercrime, Terrorism and Security",University of Portsmouth,"6,033,000 PKR / year
1 year
Be part of the next generation of cybercrime research and investigation experts with this full or part-time MSc Cybercrime, Terrorism and Security degree."
Industrial Engineering and Management (part time),University of Dundee,"3,665,398 PKR / year
2 years
Develop advanced knowledge and experience in engineering and management to prepare you for a career in leading positions within the engineering industry with this MSc Industrial Engineering and Management (part time) from University of Dundee."
Chemical Process Engineering and Safety,University of Huddersfield,"6,559,134 PKR / year
1 year
Chemical engineering is a discipline that is of critical importance to the World economy. This postgraduate course in Chemical Process Engineering and Safety at University of Huddersfield covers key areas that are relevant to chemical engineering in modern industrial settings including process integration, process control and safety, process design and computer-aided process engineering."
Bio-business - Pre-Master's Programme,"Birkbeck, University of London","7,008,101 PKR / year
1 year
This Bio-business - Pre-Master's Programme from ONCAMPUS London is designed to prepare international students for postgraduate study in the UK."
Data Analytics for Economics and Finance,University of Glasgow,"10,606,856 PKR / year
1 year
The Data Analytics for Economics and Finance programme from the University of Glasgow offers students a multi-disciplinary curriculum that will prepare them for work in all fields of data leading professions related to economics and finance."
Town and Regional Planning,University of Liverpool,"7,856,930 PKR / year
1 year
This Town and Regional Planning programme from University of Liverpool is fully accredited by the Royal Town Planning Institute and will introduce you to the essential aspects of town and  regional planning."
Vaccinology,University of Liverpool,"9,751,011 PKR / year
2 years
The University of Liverpool’s Institute of Infection and Global Health was established to bring together leading medical, veterinary and basic science researchers from across the Faculty of Health and Life Sciences. The Vaccinology programme is offered by University of Liverpool."
Secondary Initial Teacher Education Biology with Science,University of the West of England (UWE Bristol),"5,559,480 PKR / year
1 year
This Secondary Initial Teacher Education Biology with Science course from University of the West of England (UWE Bristol) has been designed to train teachers to practise as a subject specialist teacher for the secondary age range (11-16)."
Architecture (Professional Practice),Cardiff University,"2,262,375 PKR / year
1 year
On the Architecture (Professional Practice) programme at Cardiff University, students will acquire an in-depth understanding of the legal and economic aspects of architectural practice and construction procurement, and the related skills necessary to practice effectively on entry into the architectural profession."
Bio-business - Pre-Master's Programme,"Birkbeck, University of London","7,008,101 PKR / year
1 year
This Bio-business - Pre-Master's Programme from ONCAMPUS London is designed to prepare international students for postgraduate study in the UK."
Data Analytics for Economics and Finance,University of Glasgow,"10,606,856 PKR / year
1 year
The Data Analytics for Economics and Finance programme from the University of Glasgow offers students a multi-disciplinary curriculum that will prepare them for work in all fields of data leading professions related to economics and finance."
"Control, Automation and Artificial Intelligence",Coventry University,"7,032,654 PKR / year
1 year
The Control, Automation and Artificial Intelligence course at Coventry University develop skills through 3 specialist pathways with both theoretical & practical content. Ideal for engineering/science graduates."
Industrial Engineering and Management (part time),University of Dundee,"3,665,398 PKR / year
2 years
Develop advanced knowledge and experience in engineering and management to prepare you for a career in leading positions within the engineering industry with this MSc Industrial Engineering and Management (part time) from University of Dundee."
Material Culture and Experimental Archaeology,University of York,"8,383,064 PKR / year
1 year
Interweaving practical and theoretical approaches to material culture, this Material Culture and Experimental Archaeology course from University of York explores ethnoarchaeological and experimental archaeological approaches to objects, alongside functional analyses of a broad range of artefact types."
Corporate Governance Grad CG - Full-time,The University of Law,"5,296,413 PKR / year
1 year
Students who successfully complete this Corporate Governance Grad CG - Full-time master's award from The University of Law are also eligible for GradCG membership."
Economics,Cardiff University,"10,242,070 PKR / year
1 year
Apply advanced economic theory to reframe and resolve contemporary socio-political challenges on Cardiff University's Economics Msc."
Business Information Technology,Edinburgh Napier University,"6,061,060 PKR / year
1 year
This Business Information Technology MSc degree from Edinburgh Napier University enables its students to further their careers in an information and business strategy setting"
Teaching English to Speakers of Other Languages (TESOL) with Applied Linguistics,University of Central Lancashire (UCLan),"5,927,773 PKR / year
1 year
Building on your previous English language teaching experience, the Teaching English to Speakers of Other Languages (TESOL) with Applied Linguistics programme from University of Central Lancashire (UCLan) will allow you to move on to posts which demand more specialised subject knowledge and often more responsibility and interest."
Literary Linguistics,University of Nottingham,"7,927,081 PKR / year
1 year
This Literary Linguistics course from University of Nottingham is for the curious."
Sport and Exercise Physiotherapy,Cardiff University,"9,891,314 PKR / year
1½ year
As a practitioner looking for a specialist qualification in sports physiotherapy, this MSc will enable you to develop your knowledge of sports science and injuries, as well as your critical thinking skills, in order to further your career within your specialist profession."
Interior Design,University for the Creative Arts,"6,313,605 PKR / year
1 year
Do you want to take your knowledge of interior design to the next level? To become an expert in approaching and solving complex design challenges? Then the MA Interior Design course at University for the Creative Arts Canterbury will empower you to reach your goals."
Social Science Research (Communication and Media),Loughborough University,"8,593,517 PKR / year
1 year
Accredited by the Economic and Social Research Council (ESRC), our prestigious MSc Social Science Research (Communication and Media) from Loughborough University  is designed for students interested in pursuing a communication and media research career in academia or in industry."
Sustainable Energy Systems,The University of Edinburgh,"12,381,680 PKR / year
1 year
This Sustainable Energy Systems programme offered by The University of Edinburgh places a strong emphasis on energy systems, where electricity is the final product, and you will consider energy in the wider context of consumption patterns, efficiency and regulation."
International Banking Law and Finance,The University of Edinburgh,"9,575,634 PKR / year
1 year
This International Banking Law and Finance LL.M programme from The University of Edinburgh is ideal for those pursuing a successful career in the legal, accounting and banking industries, or those who aspire to work with regulatory authorities, central banks, and other related public sector organisations."
International Supply Chain Management - Pre-Master Programme,ONCAMPUS London,"7,218,555 PKR / year
1 year
This International Supply Chain Management - Pre-Master Programme from ONCAMPUS London is designed to prepare international students for postgraduate study at Royal Holloway University of London."
International Development with Conflict and Humanitarian Action,University of Bath,"9,295,029 PKR / year
2 years
Develop an in-depth understanding of contemporary development issues, and gain the specialist skills to work in peacebuilding, conflict analysis and humanitarian response. The MSc in International Development with Conflict and Humanitarian Action degree is offered at University of Bath."
Clinical Leadership Online,University of Birmingham,"3,406,891 PKR / year
2½ years
Develop the business and clinical management skills needed to spearhead smarter healthcare systems with the Clinical Leadership Online programme from University of Birmingham."
Acute Care,University of Huddersfield,"Tuition unknown
1 year
The PgCert in Acute Care at University of Huddersfield is designed to enhance your knowledge and critical understanding of managing and caring for patients within an acute or critical care setting."
Early Modern History,University of Glasgow,"8,418,139 PKR / year
1 year
The Early Modern History programme of the University of Glasgow focuses on the late 15th to 18th centuries, providing opportunities to explore social, political, religious and cultural historical themes across wide geographic and chronological ranges in a university with extensive library, museum and archive collections for this period."
Criminology,Coventry University,"6,524,058 PKR / year
1 year
The PGDip and MA Criminology courses at Coventry University have been designed to give both recent graduates and practitioners currently working in the criminal justice system greater insight in to the dynamic issues surrounding crime and criminal justice in the modern world."
"International Business (Dual Award, Greenwich and New Zealand)",University of Greenwich,"Tuition unknown
1 year, 3 months
Studied in Greenwich and New Zealand, our unique MA International Business (Dual Award, Greenwich and New Zealand) at University of Greenwich offers a grounding in business management and insight into business network analysis."
Artificial Intelligence for Media,Bournemouth University,"6,138,227 PKR / year
1 year
Artificial Intelligence technologies have brought significant breakthrough in media production. The job opportunities related to machine learning are surging drastically; this Artificial Intelligence for Media course from Bournemouth University will provide you with the skills to enhance your market competitiveness."
Advanced Chemical Engineering with Energy,University of Birmingham,"10,291,175 PKR / year
1 year
This Advanced Chemical Engineering with Energy Masters programme from University of Birmingham focuses on advanced chemical engineering topics that inform the modern process engineering industry."
Integrative Counselling and Psychotherapy,University of Derby,"5,226,262 PKR / year
2 years
This Integrative Counselling and Psychotherapy course from University of Derby is accredited by the British Association for Counselling and Psychotherapy (BACP), so you can be sure it’s relevant and recognised within the psychotherapeutic and health care profession."
"Constitutional Politics, Law and Theory - Pre-Master's Programme","Birkbeck, University of London","7,008,101 PKR / year
1 year
This Constitutional Politics, Law and Theory - Pre-Master's Programme from ONCAMPUS London is designed to prepare international students for postgraduate study in the UK."
Philosophy - Ethics and Society,The University of Exeter,"8,523,366 PKR / year
1 year
Within the Philosophy - Ethics and Society MA programme from The University of Exeter, you’ll engage with cutting-edge research on topics such as economic growth, food, medicine, animal rights, slavery and the Holocaust as well as Wittgensteinian approaches to ethics and the social world."
Publishing,University of Derby,"5,226,262 PKR / year
1 year
This innovative Publishing programme from University of Derby, taught by industry experts, offers you the chance to break into the dynamic and competitive publishing industry."
Economics,University of Reading,"7,839,392 PKR / year
1 year
Gain the fundamental tools of a professional economist with  Economics degree offered at the University of Reading."
Agricultural Economics - Pre-Master's Programme,University of Reading,"7,576,325 PKR / full
9 months
This Agricultural Economics - Pre-Master's Programme from ONCAMPUS Reading is designed to prepare international students, who have completed a Bachelor's degree, for entry to postgraduate studies at the University of Reading."
Management with Human Resources,Bournemouth University,"6,138,227 PKR / year
1 year
This Management with Human Resources course from Bournemouth University is delivered by the AACSB-accredited Business School, an accreditation attained by fewer than 5% of business schools worldwide. It recognises our focus on excellence in all areas."
Management - Pre-Master Programme,Loughborough University,"8,165,595 PKR / year
1 year
The Management - Pre-Master Programme is a two-semester programme from ONCAMPUS Loughborough, with guaranteed progression to a wide range of Master’s degrees at Loughborough University."
International Business Management,Kingston University,"6,629,285 PKR / year
1 year
The International Business Management course at Kingston University is ideal if you aspire to a career in consulting or general management in many sectors, including retail, media, healthcare, telecommunications, real estate, oil and gas, and energy."
"Conflict, Governance and Global Development",University of East Anglia,"7,436,023 PKR / year
1 year
Join the MA in Conflict, Governance and Global Development at the University of East Anglia and gain comprehensive knowledge in the field of international development and equip yourself with the necessary skills to pursue a career in this engaging area."
Human Resource Management,University of Hertfordshire,"5,769,933 PKR / year
1 year
The Human Resource Management programme from University of Hertfordshire is accredited by the Chartered Institute of Personnel and Development (CIPD) approved centre."
Electronics with Professional Internship,Queen's University Belfast,"9,049,500 PKR / year
2 years
This Electronics with Professional Internship MSc programme from the Queen's University Belfast is designed as a specialised extension to the study of Electronics at undergraduate level."
"Film, Television and Screen Media - Pre-Master's Programme","Birkbeck, University of London","7,218,555 PKR / year
1 year
This Film, Television and Screen Media - Pre-Master's Programme from ONCAMPUS London is designed to prepare international students for postgraduate study at Birkbeck, University of London."
Engineering Management - Pre-Master’s Programme,ONCAMPUS Aston,"7,144,896 PKR / year
1 year
The Engineering Management - Pre-Master’s Programme at ONCAMPUS Aston is a two semester programme, with guaranteed progression* to a wide range of Master’s degrees at Aston University. You will study your Master's programme at our Centre located at the heart of Aston University campus."
Maintenance Engineering,University of Central Lancashire (UCLan),"5,927,773 PKR / year
1 year
The Maintenance Engineering course from University of Central Lancashire (UCLan) is perfect for engineers who have recently graduated and those with experience who are looking to extend their knowledge or update their qualifications with a view to career advancement."
Computing,University of Portsmouth,"6,734,512 PKR / year
2 years
If you're ready to start your journey towards a postgraduate research qualification – and put your skills in Computing to work solving the pressing issues of the future – look no further than University of Portsmouth."
Forensic Anthropology,University of Dundee,"7,225,570 PKR / year
1 year
The MSc Forensic Anthropology from University of Dundee will help you develop skills for the analysis and identification of human skeletal remains that can further your career in forensic anthropology or allied professions"
Business Psychology,University of Hertfordshire,"5,769,933 PKR / year
1 year
The Business Psychology programme from University of Hertfordshire is designed for students who wish to acquire the skills and knowledge that will enable them to apply psychological principles within the business world."
Pharmacovigilance,University of Hertfordshire,"498,073 PKR / module
5 years
The aim of this Pharmacovigilance programme from University of Hertfordshire is to provide a postgraduate education in pharmacovigilance, including relevant techniques, the basis of adverse drug reactions, regulations and guidelines (UK, EU and major worldwide regions), handling safety issues including labelling and risk management and systems and processes."
Agriculture and Development,University of Reading,"7,839,392 PKR / year
1 year
With the Agriculture and Development degree offered at the University of Reading you will critically examine the role of agriculture (including horticulture) and agricultural research in addressing the major challenges and opportunities related to agricultural intensification and environmental sustainability particularly in tropical and subtropical regions of the developing world."
Public Relations and Corporate Communication,University of Wolverhampton,"5,594,555 PKR / year
1 year
This Public Relations and Corporate Communication course at University of Wolverhampton offers a critical examination of the academic theories and contemporary professional practices that shape the profession in the 21st century."
Mining Engineering,The University of Exeter,"9,645,785 PKR / year
1 year
Throughout the Mining Engineering MSc/PgDip programme from The University of Exeter you'll learn specialist analytical, design and management skills that are relevant to the mining industry."
Ergonomics and Human Factors,Loughborough University,"10,084,230 PKR / year
1 year
Established in 1959, our Ergonomics and Human Factors degree programme from Loughborough University  will develop your understanding of the field across a range of sectors, examining how best to ensure a good fit between people, their actions, the objects they use and the environments which they occupy."
International Political Communication,Bournemouth University,"5,612,093 PKR / year
1 year
At the International Political Communication programme from Bournemouth University, develop an advanced understanding of the issues and debates surrounding political communication, focusing on areas such as diplomacy, campaigning, reporting and media effects contextualised within the 21st Century communication and media environment."
Strategic Management (Online),University of Derby,"1,665,038 PKR / year
2 years
This Strategic Management (Online) at University of Derby is a course that’s relevant to people working in all sectors: private, public and third"
Social Work,Leeds Beckett University,"5,962,849 PKR / year
2 years
Train to be a qualified social worker and gain a thorough grasp of the knowledge, skills and values that sit at the core of this rewarding career with this Social Work from Leeds Beckett University. Recognising the powerful links between personal and political issues, the course will assert the need to challenge inequality and safeguard vulnerable people."
Advanced Pharmacy Practice (with Independent Prescribing),Queen's University Belfast,"Tuition unknown
3 years
The Advanced Pharmacy Practice (with Independent Prescribing) MSc programme from the Queen's University Belfast is designed for hospital-based pharmacists in Northern Ireland who wish to practice at Advanced Practitioner level."
Specialist Community Public Health Nursing,Brunel University London,"5,520,896 PKR / year
1 year
This Specialist Community Public Health Nursing course from Brunel University London enables you to specialise in one of three areas and on successful completion of the course you’ll be a qualified Specialist Community Public Health Nurse in your chosen area."
Accounting and Finance,Cardiff University,"Tuition unknown
1 year
Shape innovation in all areas of business while appreciating the significance of accounting and finance for creating a more responsible and sustainable society with the Accounting and Finance programme at Cardiff University."
Digital Design and Branding,Brunel University London,"8,768,895 PKR / year
1 year
The Digital Design and Branding degree from Brunel University London is a modern, hands-on course that combines digital technology and creative design. It has been designed to equip you with advanced knowledge and practical skills required for a creative role in the digital branding industry."
International Management,Loughborough University,"10,698,052 PKR / year
1 year
The MSc International Management at Loughborough University  will give you an in-depth understanding of the different national, institutional and cultural contexts in which firms operate, whilst developing essential analytical skills to prepare you for a career in the global economy."
Security and Risk (Learning at Work),University of Portsmouth,"Tuition unknown
Duration unknown
Earn a postgraduate qualification in security and risk while you work, and open career paths by combining your existing experience with Master’s-level study."
Net Zero Engineering (Distance Learning),Queen's University Belfast,"2,504,396 PKR / year
3 years
Governments around the world have set legally binding targets in support of achieving ambitious low-carbon objectives and are investing heavily in the development of technology that will deliver decarbonisation of the energy sector. Learn more with Net Zero Engineering (Distance Learning) from Queen's University Belfast."
Diplomacy and International Relations,Loughborough University,"8,593,517 PKR / year
1 year
The Diplomacy and International Relations programme from Loughborough University provides an umbilical link between theory and practice, providing training in the concepts and applications of research appropriate for the study of diplomacy and international relations in the world today."
Security and Risk (Learning at Work),University of Portsmouth,"Tuition unknown
Duration unknown
Earn a postgraduate qualification in security and risk while you work, and open career paths by combining your existing experience with Master’s-level study."
Teaching English to Speakers of Other Languages (TESOL),University of Hull,"4,910,581 PKR / year
1 year
The MA in Teaching English to Speakers of Other Languages (TESOL) offered at The University of Hull is designed for any graduate who has a strong interest in language learning and teaching."
Behaviour Analysis and Therapy,University of South Wales,"5,296,413 PKR / year
1 year
Approved by the Behaviour Analysis Certification Board (BACB), the international regulatory body for the practice of behaviour analysis, the Behaviour Analysis and Therapy programme from University of South Wales equips students with skills in behaviour analysis and therapy relevant to a range of educational and clinical settings."
Applied and Professional Ethics,University of Leeds,"Tuition unknown
1 year
This Applied and Professional Ethics M.A course from University of Leeds allows you to examine current issues, debates, and theories around the application of ethics in professional settings."
Building Services Engineering,London South Bank University,"5,927,773 PKR / year
1 year
The Building Services Engineering programme from London South Bank University provides a broad basis of the technological areas of building services and energy engineering, with particular emphasis on the interaction between the built and natural environments, modern industry, and the analysis of developing technologies."
Global Human Resource Management,Northumbria University,"6,927,427 PKR / year
1 year
This Global Human Resource Management program at Northumbria University aims to help you develop and cultivate capabilities in discovering contemporary challenges and issues facing human resource management practitioners in modern organisations"
Emergency Care,University of Huddersfield,"Tuition unknown
1 year
The PgCert in Emergency Care at University of Huddersfield provides academic accreditation to the specialist knowledge and skills required to work in the field of emergency care."
Business Intelligence and Digital Marketing,Brunel University London,"8,768,895 PKR / year
1 year
The Business Intelligence and Digital Marketing from Brunel University London, is a new multi-disciplinary course which explores developments in technology for businesses such as social media, business intelligence, and mobile and cloud services."
Football Science and Rehabilitation,University of Central Lancashire (UCLan),"3,156,802 PKR / year
1 year
On this flexible Football Science and Rehabilitation course from University of Central Lancashire (UCLan) you’ll develop advanced practical skills and learn how to apply the latest clinical techniques and scientific thinking to the performance management strategies used by the multi-disciplinary team for the enhancement of elite level footballers."
Sustainability - Pre-Master Programme (PMP),ONCAMPUS Southampton,"8,233,993 PKR / year
1 year
The Sustainability - Pre-Master Programme (PMP) at ONCAMPUS Southampton is a two-semester programme, with guaranteed progression upon successful completion of the programme to a wide range of Masters degrees at the University of Southampton."
International Relations and Security,University of Liverpool,"7,664,014 PKR / year
1 year
The International Relations and Security programme from University of Liverpool provide a personalised and focused introduction to postgraduate research allowing you to develop as an independent researcher with the support of an expert in International Relations and Security."
International Commercial Law with International Corporate Finance,University of Reading,"7,839,392 PKR / year
1 year
With the International Commercial Law with International Corporate Finance degree offered at the University of Reading you will develop commercial law knowledge combined with a detailed and unique awareness and expertise in corporate finance."
Artificial Intelligence,Brunel University London,"8,768,895 PKR / year
1 year
Built on Brunel's strong international research profile in intelligent data analysis, the aim of the Artificial Intelligence course from Brunel University London is to provide you with a solid awareness of the key concepts of artificial intelligence."
Hydrography,University of Plymouth,"6,944,965 PKR / year
1 year
Throughout the Hydrography MSc programme from University of Plymouth you'll seize this opportunity to gain a thorough knowledge of the science and technology of hydrography, experiencing the practical application of modern methods and equipment involved in exploring and managing the seabed whilst preparing for a career in this growth area."
International Strategic Marketing,University of Glasgow,"10,606,856 PKR / year
1 year
The International Strategic Marketing programme of the University of Glasgow will provide you with a detailed understanding of contemporary marketing principles, techniques and trends from an international perspective to help you think independently and strategically."
Criminology,University of Plymouth,"6,173,302 PKR / year
1 year
Throughout the Criminology MSc programme from the University of Plymouth you will engage with real world problems and issues. You will be inspired by renowned external speakers, student presenters and core lectures at our bespoke symposiums."
